=== Elevator Baseline Simulation Summary ===
Total Time: 16289.57 s
Total Energy: 17752843.95 J
Total Objective Cost: 34042.41

Elevator 1 Queue:
  Req#8: 1 → 2, load=112.1kg
  Req#239: 1 → 9, load=100.0kg
  Req#200: 7 → 1, load=116.5kg
  Req#249: 1 → 7, load=132.7kg
  Req#235: 1 → 3, load=82.9kg
  Req#201: 1 → 3, load=105.7kg
  Req#219: 1 → 14, load=119.9kg
  Req#166: 1 → 2, load=91.6kg
  Req#34: 1 → 11, load=136.2kg
  Req#31: 1 → 5, load=146.3kg
  Req#86: 1 → 6, load=147.1kg
  Req#198: 1 → 11, load=125.2kg
  Req#46: 1 → 14, load=127.2kg
  Req#206: 1 → 11, load=107.4kg
  Req#214: 1 → 11, load=81.6kg
  Req#229: 1 → 11, load=62.7kg
  Req#107: 1 → 14, load=96.2kg
  Req#160: 1 → 6, load=142.6kg
  Req#248: 1 → 7, load=99.6kg
  Req#139: 1 → 2, load=100.8kg
  Req#87: 1 → 15, load=107.2kg
  Req#33: 1 → 2, load=101.2kg
  Req#188: 1 → 7, load=77.0kg
  Req#115: 1 → 5, load=62.6kg
  Req#29: 1 → 8, load=91.2kg
  Req#43: 1 → 7, load=72.8kg
  Req#213: 1 → 4, load=71.1kg
  Req#21: 1 → 9, load=112.8kg
  Req#136: 1 → 4, load=145.4kg
  Req#120: 1 → 9, load=113.2kg
  Req#224: 15 → 1, load=63.1kg
  Req#207: 1 → 15, load=85.1kg
  Req#57: 1 → 5, load=131.2kg
  Req#179: 1 → 14, load=119.9kg
  Req#79: 1 → 8, load=114.7kg
  Req#102: 1 → 12, load=113.9kg
  Req#232: 1 → 11, load=61.9kg
  Req#22: 1 → 15, load=71.2kg
  Req#234: 1 → 5, load=62.1kg
  Req#138: 5 → 1, load=70.8kg
  Req#5: 1 → 2, load=136.6kg
  Req#183: 1 → 14, load=142.9kg
  Req#205: 1 → 7, load=135.5kg
  Req#54: 1 → 9, load=72.5kg
  Req#146: 1 → 14, load=74.7kg
  Req#72: 1 → 10, load=135.2kg
  Req#74: 1 → 2, load=117.1kg
  Req#122: 1 → 4, load=116.3kg
  Req#100: 1 → 3, load=104.6kg
  Req#148: 1 → 2, load=100.9kg
  Req#230: 1 → 15, load=98.5kg
  Req#60: 1 → 4, load=76.1kg
  Req#104: 1 → 14, load=145.6kg
  Req#15: 1 → 6, load=93.1kg
  Req#163: 1 → 10, load=79.5kg
  Req#30: 1 → 13, load=126.4kg
  Req#153: 1 → 6, load=72.5kg
  Req#56: 7 → 1, load=87.9kg
  Req#231: 1 → 12, load=61.4kg
  Req#25: 1 → 9, load=135.9kg
  Req#141: 1 → 10, load=120.7kg
  Req#177: 1 → 9, load=97.3kg
  Req#32: 1 → 8, load=134.0kg
  Req#217: 1 → 5, load=67.7kg
  Req#171: 1 → 15, load=114.6kg
  Req#23: 1 → 14, load=141.3kg
  Req#40: 1 → 11, load=73.6kg
  Req#250: 1 → 8, load=110.5kg
  Req#103: 1 → 9, load=116.3kg
  Req#241: 1 → 13, load=125.6kg
  Req#134: 1 → 15, load=63.5kg
  Req#66: 1 → 2, load=93.8kg
  Req#161: 1 → 10, load=62.9kg
  Req#187: 1 → 5, load=130.0kg
  Req#58: 1 → 15, load=113.4kg
  Req#71: 1 → 4, load=92.3kg
  Req#147: 1 → 11, load=106.1kg
  Req#55: 1 → 7, load=90.0kg
  Req#18: 1 → 8, load=114.2kg
  Req#199: 1 → 11, load=65.1kg
  Req#221: 5 → 1, load=95.9kg
  Req#246: 1 → 14, load=76.8kg
  Req#170: 1 → 2, load=71.0kg
  Req#1: 1 → 13, load=128.6kg
  Req#220: 7 → 1, load=84.8kg
  Req#238: 1 → 7, load=98.1kg
  Req#150: 1 → 10, load=64.9kg
  Req#53: 1 → 9, load=97.7kg
  Req#64: 1 → 3, load=135.0kg
  Req#77: 1 → 2, load=66.5kg
  Req#98: 1 → 3, load=91.8kg
  Req#159: 1 → 11, load=74.4kg
  Req#223: 1 → 15, load=103.1kg
  Req#65: 1 → 14, load=148.7kg
  Req#204: 1 → 4, load=128.7kg
  Req#152: 1 → 10, load=127.7kg
  Req#110: 1 → 8, load=112.1kg
  Req#240: 1 → 11, load=111.3kg
  Req#182: 1 → 2, load=101.1kg
  Req#19: 1 → 4, load=118.0kg
  Req#164: 3 → 1, load=75.8kg
  Req#208: 1 → 4, load=116.3kg
  Req#245: 8 → 1, load=64.5kg
  Req#190: 1 → 2, load=105.1kg
  Req#158: 10 → 1, load=114.2kg
  Req#186: 1 → 4, load=145.8kg
  Req#173: 1 → 13, load=61.9kg
  Req#16: 10 → 1, load=119.6kg
  Req#35: 1 → 10, load=137.5kg
  Req#181: 1 → 3, load=133.4kg
  Req#112: 1 → 11, load=148.8kg
  Req#63: 1 → 6, load=135.0kg
  Req#194: 1 → 2, load=124.8kg
  Req#51: 1 → 12, load=80.8kg
  Req#243: 1 → 4, load=128.7kg
  Req#113: 1 → 2, load=87.6kg
  Req#127: 1 → 13, load=109.2kg
  Req#118: 1 → 10, load=134.0kg
  Req#42: 1 → 12, load=131.5kg
  Req#175: 1 → 11, load=97.4kg
  Req#44: 1 → 12, load=73.5kg
  Req#247: 1 → 13, load=100.3kg
  Req#237: 1 → 12, load=67.3kg
  Req#88: 1 → 7, load=92.9kg
  Req#178: 1 → 15, load=70.9kg
  Req#96: 1 → 2, load=92.1kg
  Req#155: 1 → 11, load=92.5kg
  Req#10: 1 → 3, load=148.9kg
  Req#196: 1 → 15, load=94.5kg
  Req#123: 1 → 13, load=122.2kg
  Req#132: 1 → 13, load=89.5kg
  Req#15: 2 → 1, load=63.7kg
  Req#7: 11 → 1, load=65.9kg
  Req#20: 10 → 9, load=55.5kg
  Req#49: 1 → 6, load=63.1kg
  Req#36: 1 → 3, load=92.5kg
